sample,target,CT
SCR2-1,ACTB,23.149
SCR2-1,ACTB,22.830
SCR2-1,ACTB,22.821
TNC-1,ACTB,22.917
TNC-1,ACTB,22.955
TNC-1,ACTB,22.898
SCR2-2,ACTB,22.863
SCR2-2,ACTB,22.876
SCR2-2,ACTB,23.001
TNC-2,ACTB,22.674
TNC-2,ACTB,22.638
TNC-2,ACTB,22.685
SCR2-3,ACTB,23.172
SCR2-3,ACTB,23.258
SCR2-3,ACTB,23.221
TNC-3,ACTB,23.017
TNC-3,ACTB,23.105
TNC-3,ACTB,22.956
SCR2-4,ACTB,22.968
SCR2-4,ACTB,22.888
SCR2-4,ACTB,23.216
TNC-4,ACTB,23.218
TNC-4,ACTB,23.281
TNC-4,ACTB,23.651
SCR2-1,GAPDH-2,22.191
SCR2-1,GAPDH-2,21.930
SCR2-1,GAPDH-2,22.446
TNC-1,GAPDH-2,21.990
TNC-1,GAPDH-2,22.014
TNC-1,GAPDH-2,22.035
SCR2-2,GAPDH-2,21.885
SCR2-2,GAPDH-2,21.872
SCR2-2,GAPDH-2,22.488
TNC-2,GAPDH-2,21.693
TNC-2,GAPDH-2,21.710
TNC-2,GAPDH-2,21.921
SCR2-3,GAPDH-2,22.209
SCR2-3,GAPDH-2,22.278
SCR2-3,GAPDH-2,22.246
TNC-3,GAPDH-2,21.951
TNC-3,GAPDH-2,22.178
TNC-3,GAPDH-2,21.987
SCR2-4,GAPDH-2,21.780
SCR2-4,GAPDH-2,21.836
SCR2-4,GAPDH-2,21.963
TNC-4,GAPDH-2,22.094
TNC-4,GAPDH-2,22.209
TNC-4,GAPDH-2,22.336
SCR2-1,TNC1,29.104
SCR2-1,TNC1,29.991
SCR2-1,TNC1,28.806
TNC-1,TNC1,29.187
TNC-1,TNC1,29.567
TNC-1,TNC1,29.086
SCR2-2,TNC1,29.180
SCR2-2,TNC1,28.965
SCR2-2,TNC1,29.189
TNC-2,TNC1,28.688
TNC-2,TNC1,29.016
TNC-2,TNC1,29.263
SCR2-3,TNC1,29.007
SCR2-3,TNC1,29.409
SCR2-3,TNC1,29.672
TNC-3,TNC1,29.412
TNC-3,TNC1,29.197
TNC-3,TNC1,28.576
SCR2-4,TNC1,28.698
SCR2-4,TNC1,29.257
SCR2-4,TNC1,28.987
TNC-4,TNC1,29.079
TNC-4,TNC1,29.809
TNC-4,TNC1,29.528
SCR2-1,TNC2,29.155
SCR2-1,TNC2,29.638
SCR2-1,TNC2,29.218
TNC-1,TNC2,29.542
TNC-1,TNC2,29.424
TNC-1,TNC2,29.872
SCR2-2,TNC2,29.294
SCR2-2,TNC2,29.051
SCR2-2,TNC2,29.235
TNC-2,TNC2,29.153
TNC-2,TNC2,29.244
TNC-2,TNC2,29.199
SCR2-3,TNC2,29.272
SCR2-3,TNC2,29.487
SCR2-3,TNC2,29.351
TNC-3,TNC2,29.319
TNC-3,TNC2,29.196
TNC-3,TNC2,29.210
SCR2-4,TNC2,28.955
SCR2-4,TNC2,29.019
SCR2-4,TNC2,29.274
TNC-4,TNC2,29.637
TNC-4,TNC2,29.580
TNC-4,TNC2,29.532
